"","released","colour","year","age","sex","employed","citizen","checks"
"3512","Yes","White",1997,19,"Male","Yes","Yes",4
"1037","Yes","Black",2000,66,"Male","Yes","Yes",2
"5142","Yes","White",1998,21,"Male","Yes","Yes",2
"4198","No","Black",2000,22,"Male","Yes","Yes",4
"3736","Yes","White",2002,19,"Male","Yes","Yes",2
"2885","Yes","White",2000,21,"Male","No","Yes",5
"443","Yes","White",2001,23,"Male","Yes","No",3
"753","No","White",2001,15,"Male","Yes","Yes",3
"5094","Yes","White",1999,30,"Female","Yes","Yes",0
"3151","Yes","Black",2001,27,"Male","Yes","Yes",4
"1349","Yes","Black",2002,19,"Male","Yes","Yes",1
"5057","Yes","White",1998,20,"Male","Yes","No",1
"3751","Yes","Black",1999,25,"Male","Yes","No",0
"1149","Yes","White",1997,18,"Male","Yes","Yes",0
"2906","Yes","Black",1999,21,"Male","No","Yes",4
"5225","No","Black",1998,24,"Male","Yes","Yes",4
"4686","Yes","White",1997,23,"Male","Yes","Yes",3
"1077","Yes","White",1997,16,"Male","No","Yes",3
"1034","Yes","White",2000,40,"Male","Yes","Yes",3
"490","Yes","White",1997,31,"Male","No","No",0
"4951","Yes","White",2000,32,"Female","No","Yes",0
"3098","Yes","White",2002,23,"Male","No","Yes",3
"3336","Yes","Black",1998,19,"Female","Yes","Yes",0
"3177","Yes","White",2000,19,"Male","No","Yes",2
"580","Yes","White",1999,18,"Male","Yes","Yes",2
"2189","Yes","White",2000,17,"Male","Yes","Yes",0
"1616","Yes","White",1997,16,"Male","Yes","No",0
