"","title","rating","calories","protein","fat","sodium"
"9468","Butternut Squash and Carrot Purée with Maple Syrup ",4.375,252,4,8,35
"5203","Strawberry Italian Ice ",3.75,144,1,0,11
"441","Grilled Butterflied Leg of Lamb with Lemon, Herbs, and Garlic ",5,572,46,41,859
"16605","Steak and Onion Sandwiches with Horseradish Mayonnaise ",4.375,982,38,76,632
"19626","Crab Cakes with Spicy Avocado Sauce ",3.75,NA,NA,NA,NA
"11241","Roasted Beets with Horseradish Crème Fraîche ",4.375,NA,NA,NA,NA
"7002","Frozen Nougat Terrine with Bittersweet Chocolate Sauce and Raspberry-Fig Sauce ",4.375,NA,NA,NA,NA
"16968","Pear and Dried Cherry Frangipane Cake ",4.375,681,10,34,434
"12594","Chicken, Onion, and Raisin Stew ",4.375,460,18,29,104
"10740","Moroccan-Spiced Chicken Paillards ",3.75,479,42,31,854
"10798","White Fish Stock ",4.375,13,2,0,43
"8528","Lemon, Honey and Walnut Tart ",4.375,579,10,31,232
"18572","Chilled Avocado Cucumber Soup ",3.75,167,4,12,42
"3358","Truffled French Fries ",5,240,5,7,11
"16200","Coconut Dulce de Leche ",4.375,239,2,17,112
"16607","Chestnut Ice Cream ",5,255,2,20,22
"2728","Crispy Garlic Risotto Cakes ",3.75,238,4,11,75
"3841","Chocolate Chunk, Orange and Hazelnut Cookies ",4.375,174,2,12,44
"7703","Roasted Garlic ",4.375,144,1,14,3
"6313","Pineapple-Mint Vodka ",0,174,0,0,1
"7053","Polenta Pudding with Blackberry Compote and Mascarpone Cream ",4.375,8844,96,441,880
"9961","Swordfish and Caponata Sandwiches ",4.375,586,35,26,1106
"14391","Spring Lamb Stew ",4.375,NA,NA,NA,NA
"8753","Potato Silk with Truffle Oil ",3.125,339,8,17,66
"3973","Salmon with Arugula, Tomato and Caper Sauce ",4.375,686,36,57,160
"7615","Buttermilk-Herb Pancakes Topped with Caviar ",4.375,111,3,7,154
"14191","Stuffed Crepes with Mushrooms, Ham and Bechamel Sauce ",3.75,775,42,44,1395
"1041","Blueberry Buckwheat Pancakes ",4.375,NA,NA,NA,NA
"128","Roasted Bell Pepper Halves Stuffed with Bulgur and Spinach ",4.375,NA,NA,NA,NA
"4598","Sweet-Potato Salad with Mustard Viniagrette ",4.375,247,3,9,230
"11121","Red-Cooked Pork with Frizzled Ginger ",4.375,806,96,37,3020
"14903","Irene's Beer Stew ",3.75,460,40,22,973
"517","Red Vinegar Pickles ",5,88,3,1,3194
"14308","Mango Curd ",3.125,213,2,11,56
"8768","Red-Chile Oil ",1.25,247,0,27,1
"15973","Arugula Salad with Olives, Pancetta, and Parmesan Shavings ",3.75,NA,NA,NA,NA
"6647","Mexican Chicken Sliders ",0,248,25,15,672
"7552","Lemon-Herb Mayonnaise ",0,404,0,45,335
"10607","Tequila Sunrise ",5,122,1,0,2
"7773","Mexican Fiesta Casserole ",4.375,NA,NA,NA,NA
"18392","Turkey Stock ",4.375,NA,NA,NA,NA
"3388","Homemade Thick Cream ",5,221,2,24,22
"8847","Sweet Potato–Chickpea-Quinoa Burgers ",4.375,177,7,5,300
"14494","Matzo Scallion Pancakes ",3.75,74,1,7,92
"2508","Curly Endive Salad with Cranberry-Bacon Vinaigrette and Blue Cheese Pastries ",4.375,748,15,52,623
"7013","Spaghetti with Turkey Meatballs and Quick Tomato Sauce ",3.75,NA,NA,NA,NA
"11345","Grilled Corn with Roasted Garlic Butter ",4.375,363,5,30,21
"19595","Pink Whiskers ",0,163,0,0,6
"12433","Ginger Syrup ",5,216,1,0,7
"2676","Oriental Chicken ",4.375,621,54,34,575
"11721","Goat Cheese Souffles in Phyllo Cups with Frisée Salad ",4.375,317,10,26,390
"3665","Fish Soup (Brodo di Pesce) ",0,709,99,24,1854
"16386","Lemon Molasses Chess Pie ",3.75,NA,NA,NA,NA
"12819","Rosemary-Sage Burgers with Apple Slaw and Chive ""Mayo"" ",4.375,NA,NA,NA,NA
"9905","Great British Fool ",0,129,1,8,24
"12948","Little Gem Lettuce With Green Goddess Dressing ",0,NA,NA,NA,NA
"8543","Frozen Peach and Amaretti Souffles ",4.375,417,5,11,43
"17075","Cajun Shrimp Tacos with Tomatillo Salsa ",3.75,318,18,24,719
"7353","Beefsteak Tomato, Butterhead Lettuce, and Bacon with Blue Cheese Dressing ",3.75,381,15,33,699
"9653","Iron-Skillet Cornbread ",5,NA,NA,NA,NA
"14748","Smoked Oyster Caesar ",0,329,6,26,993
"17711","Honeydew and Cantaloupe Mousse ",3.125,300,6,2,114
"1786","Mango Salsa ",4.375,108,2,1,4
"19506","Blueberry Sour Cream Pie ",4.375,470,5,27,134
"4494","Party Squash Salad ",4.375,NA,NA,NA,NA
"19372","Roasted Bell Pepper Salad with Pine Nuts ",3.75,96,2,7,5
"7841","The Boy Scouts Campfire Quesadilla ",0,1010,76,66,1172
"6835","Filets Mignons with Creamy Paprika Sauce ",3.75,587,37,45,760
"12701","Boiled Dressing ",4.375,249,6,20,837
"15213","Maraschino Cherry Parfaits ",0,602,11,19,99
"8984","Mushroom Caesar Salad ",4.375,572,13,49,681
"846","Greek Salad ",3.75,NA,NA,NA,NA
"6018","Bratwurst in Beer ",5,NA,NA,NA,NA
"16862","Cauliflower Soup with White Truffle Oil ",4.375,92,5,6,65
"14199","Sour Orange, Red Onion, and Parsley Mojo ",0,183,1,18,379
"1112","Marinated Eggplant Salad ",4.375,190,3,14,8
"17412","Pimm's Royale Punch ",0,173,0,0,5
"4367","Mashed Potatoes with Caramelized Garlic and Parsnips ",3.125,349,7,17,44
"5413","Quick Apple Tart ",4.375,589,6,35,211
"8951","Baked Red Snapper with Fennel-Scented Tomato Sauce ",3.75,528,66,18,1378
"15129","Sausage-Stuffed Rack of Pork with Sage ",5,NA,NA,NA,NA
"7630","Mexican-Style Chicken Sandwiches ",4.375,291,21,17,253
"7037","Red Snapper with Black Olives, Capers, and Tomatoes ",5,466,35,35,1084
"19509","Pine Nut Torta with Marsala-Poached Autumn Fruit ",4.375,873,11,34,129
"2709","Asparagus and Shiitake Risotto ",4.375,625,22,23,641
"733","Smoky Tomato Sauce ",5,NA,NA,NA,NA
"10715","Grand Royal Fizz ",0,306,1,4,6
"4221","Clementines in Ginger Syrup ",4.375,NA,NA,NA,NA
"12007","Yellow and Green Bean Salad with Olives, Cherry Tomatoes and Summer Savory ",5,NA,NA,NA,NA
"18316","Mussels with Saffron Cream ",5,629,55,31,1749
"6078","Classic Gazpacho ",4.375,138,2,10,24
"8360","Corsican Grilled Whole Fish with Breadcrumbs and Anchovies ",4.375,496,62,18,368
"3289","Rack of Lamb and Roasted Cabbage with Cauliflower and Date Purees ",5,NA,NA,NA,NA
"3239","Rigatoni with Spicy Sun-Dried Tomato Sauce ",4.375,763,35,15,958
"3572","Turkey Torta ",5,393,27,11,420
"5446","Lamb and Broccoli Stew ",3.75,1321,56,103,17544
"13450","Green Bean, Yellow Bean and Cherry Tomato Salad ",3.75,157,3,12,12
"19773","Carp Fish Cakes with Citrus ""Tartar"" Sauce ",3.125,169,7,15,338
"4649","Couscous with Apricots ",3.125,283,6,11,446
"10611","Fish Terrine ",0,469,39,25,675
"8219","Romaine, Radish, and Cucumber Salad with Tahini Dressing ",3.75,104,4,5,762
"15513","Red Radishes Stuffed with Blue Cheese ",0,29,1,3,34
"3232","Fusilli All'amatriciana ",3.75,509,14,25,251
"12240","Ham with Bourbon, Molasses, and Pecan Glaze ",5,NA,NA,NA,NA
"9336","Grilled Spiced Chicken Breasts ",3.75,NA,NA,NA,NA
"160","Oriental Chicken and Cabbage Salad ",3.75,NA,NA,NA,NA
"11193","Frozen Brandy Alexander ",0,298,1,11,19
"429","Haricots Verts With Poached Eggs And Tarragon Vinaigrette ",5,314,11,27,484
"6789","Berrymisu ",3.75,447,5,26,239
"9761","Shrimp and Scallops with Asian Eggplant ",4.375,474,31,32,1533
"19218","Lemon Cornmeal Cake with Lemon Glaze and Crushed-Blueberry Sauce ",5,405,6,13,383
"2387","Yogurt and Lemon Dressing ",3.125,55,4,1,445
"8309","Double Lamb Chops with Ginger-Mint Crust ",4.375,1126,40,102,552
"18708","Farro and Pine Nut Tabbouleh ",5,NA,NA,NA,NA
"18689","Grilled Chicken Breasts with Spicy Yellow Pepper Purée ",3.75,NA,NA,NA,NA
"12705","Cinnamon Hot Chocolate ",0,291,10,13,133
"143","Mustard-Ginger Shrimp Canapes ",4.375,50,3,4,113
"NA",NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA,NA
"2228","Margarita Chiffon Cake ",4.375,496,7,14,393
"NA.9",NA,NA,NA,NA,NA,NA
"NA.10",NA,NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA,NA
"NA.12",NA,NA,NA,NA,NA,NA
"NA.13",NA,NA,NA,NA,NA,NA
"NA.14",NA,NA,NA,NA,NA,NA
"NA.15",NA,NA,NA,NA,NA,NA
"1625","Melon and Berry Compote ",4.375,60,1,0,1
"2074","Sofrito ",5,207,2,18,241
"NA.16",NA,NA,NA,NA,NA,NA
"NA.17",NA,NA,NA,NA,NA,NA
"NA.18",NA,NA,NA,NA,NA,NA
"NA.19",NA,NA,NA,NA,NA,NA
"NA.20",NA,NA,NA,NA,NA,NA
"NA.21",NA,NA,NA,NA,NA,NA
"NA.22",NA,NA,NA,NA,NA,NA
"NA.23",NA,NA,NA,NA,NA,NA
"NA.24",NA,NA,NA,NA,NA,NA
"NA.25",NA,NA,NA,NA,NA,NA
"NA.26",NA,NA,NA,NA,NA,NA
"NA.27",NA,NA,NA,NA,NA,NA
"NA.28",NA,NA,NA,NA,NA,NA
"NA.29",NA,NA,NA,NA,NA,NA
"NA.30",NA,NA,NA,NA,NA,NA
"NA.31",NA,NA,NA,NA,NA,NA
